gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
WBGene00017804,F26A1.6,BWM_head_row_1,0.262634734837588,0.451058440593032,0.276422764227642,0.950119776030099,0.239345160952336,1.21631687515727e-45,1.2298179924715198e-40
WBGene00004024,php-3,BWM_far_posterior,0.470125475197173,0.644934494418217,0.497737556561086,0.944524818350684,0.443054188337922,3.8867818777799497e-122,3.92992515662331e-117
WBGene00008953,F19C6.4,BWM_head_row_2,0.327739277973252,0.844563646162984,0.364583333333333,0.898942019583778,0.13303472431477,3.60914774838837e-22,3.64920928839548e-17
WBGene00007966,maph-1.3,BWM_head_row_1,0.583480022159322,1.81817046786777,0.650406504065041,0.897100534069958,0.556631956838771,8.053551350567451e-110,8.14294577055875e-105
WBGene00000370,ccg-1,BWM_head_row_1,0.427773740888362,1.38881345827228,0.48780487804878,0.876936168821141,0.382830317146718,9.685687389144751e-74,9.79319851916425e-69
WBGene00000968,dhs-4,BWM_far_posterior,0.668834400906258,2.06115922182187,0.769230769230769,0.869484721178135,0.613441233401158,1.36703045729325e-176,1.3822044953692e-171
WBGene00003779,nob-1,BWM_far_posterior,0.461550423008922,0.614112545138551,0.538461538461538,0.857165071302284,0.431273730014244,1.44180494194526e-118,1.45780897680085e-113
WBGene00006873,vab-7,BWM_far_posterior,0.662571600154147,2.34096406930492,0.81447963800905,0.813490686855925,0.614973572465973,4.17063523580709e-177,4.2169292869245403e-172
WBGene00009560,psa-3,BWM_far_posterior,0.389962305412856,1.03421317423706,0.484162895927602,0.805436163516274,0.365255643510038,5.46228887350899e-99,5.522920280004939e-94
WBGene00003395,mom-2,BWM_far_posterior,0.767978176620557,9.82740135654208,0.986425339366516,0.778546683638271,0.784139857860369,2.67142134248103e-237,2.7010741193825697e-232
WBGene00006983,zig-6,BWM_far_posterior,0.527228447595165,1.58145715261108,0.678733031674208,0.776783246123543,0.460631013827553,1.65900446162855e-127,1.67741941115263e-122
WBGene00006874,vab-8,BWM_far_posterior,0.503382808094737,1.63383880894396,0.665158371040724,0.756786398564196,0.468991743161431,4.43383723992443e-130,4.4830528332876e-125
WBGene00000415,ced-1,BWM_head_row_1,0.320631980988931,0.764429107738535,0.430894308943089,0.744108182295066,0.238078620236833,2.12284368870732e-45,2.14640725365198e-40
WBGene00012832,dmd-3,BWM_far_posterior,0.304185566565798,0.76758188121146,0.429864253393665,0.707631686432015,0.239263381759757,1.79445497198842e-63,1.81437342217749e-58
WBGene00022242,sfrp-1,BWM_head_row_1,0.520992142877576,3.458836078786,0.747967479674797,0.696543843195021,0.523742395256027,8.313860438125279e-103,8.40614428898847e-98
WBGene00002248,lam-3,BWM_head_row_1,0.316630865915566,1.7395647786367,0.455284552845528,0.695457080493118,0.230407564751824,6.16143627577148e-44,6.22982821843255e-39
WBGene00003102,mab-5,BWM_posterior,0.271360270136614,0.576641294839743,0.394520547945205,0.687822906943502,0.307257818194898,1.53591096577047e-132,1.55295957749052e-127
WBGene00003024,lin-39,BWM_posterior,0.286049541700103,1.06877467478199,0.426027397260274,0.671434615566157,0.231610216760025,2.5381177513517e-97,2.5662908583917e-92
WBGene00003001,lin-12,BWM_far_posterior,0.278316522545577,0.698670346383998,0.425339366515837,0.654339909389069,0.20502852790284,3.32180040171417e-54,3.35867238617319e-49
WBGene00000455,ceh-34,BWM_head_row_1,0.634186547120827,13.9962507332028,0.975609756097561,0.650041210798848,0.748806588315353,9.974056179197669e-153,1.00847682027868e-147
WBGene00000437,ceh-13,BWM_anterior,0.323639014630456,0.751281467982844,0.5,0.647278029260911,0.339543894245883,4.20889414637007e-155,4.25561287139478e-150
WBGene00001377,eya-1,BWM_head_row_1,0.577048472286017,4.04980906389122,0.902439024390244,0.639432090911533,0.606125965994997,1.50316830435824e-120,1.51985347253661e-115
WBGene00002255,lbp-3,BWM_posterior,0.483205168960117,2.69451131879695,0.764383561643836,0.632150131435279,0.410255746533222,1.62860645945458e-184,1.64668399115452e-179
WBGene00000149,apl-1,BWM_head_row_1,0.313906369812764,1.08102882764047,0.51219512195122,0.612864817253492,0.227003271484441,2.7393167363508497e-43,2.76972315212434e-38
WBGene00001434,fkh-2,BWM_head_row_1,0.564598497157625,11.6912411739067,0.975609756097561,0.578713459586565,0.600613545805787,2.41287970101613e-119,2.4396626656974098e-114
WBGene00001981,hnd-1,BWM_head_row_1,0.304090750038336,2.94701978633998,0.536585365853659,0.566714579616899,0.165901696072167,8.85551179302108e-32,8.95380797392362e-27
WBGene00006580,tlp-1,BWM_far_posterior,0.454246043464758,2.11458593283697,0.823529411764706,0.551584481350063,0.29738752402931,1.42873137513818e-79,1.4445902934022201e-74
WBGene00010234,ttr-50,BWM_anterior,0.380000072809291,8.74707572098013,0.69205298013245,0.549091014298592,0.220604760202695,2.32979987569641e-96,2.3556606543166402e-91
WBGene00000857,cwn-1,BWM_posterior,0.472231156560057,2.77582640094722,0.878082191780822,0.537798353024714,0.587662596100924,7.896258941080599e-288,7.98390741532659e-283
