gene_short_name,gene_id,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
sdz-38,WBGene00014131,BWM_head_row_1,0.77121864859112,2.12922945998641,0.879032258064516,0.877349655277971,0.791891304286942,1.8631842807691203e-120,9.52087167473021e-117
nob-1,WBGene00003779,BWM_far_posterior,0.123753272722309,0.124378491483614,0.146341463414634,0.845647363602444,0.0927759252239412,1.63766612982159e-07,0.0008368473923388
egl-15,WBGene00001184,BWM_head_row_1,0.291193997134502,0.431034150513704,0.346774193548387,0.839722224294842,0.274907666001284,3.0052350852839897e-36,1.53567512858012e-32
php-3,WBGene00004024,BWM_far_posterior,0.114296916185937,0.138198927079384,0.146341463414634,0.781028927270572,0.0859483777468972,4.71675383299864e-07,0.0024102612086623
ceh-33,WBGene00000454,BWM_head_row_1,0.604116820162459,1.64236596674939,0.782258064516129,0.772273048455102,0.658380817734717,1.71737624389575e-95,8.775792606307301e-92
eya-1,WBGene00001377,BWM_head_row_1,0.521402296513,1.17873223092326,0.709677419354839,0.734703235995591,0.494263735268914,3.32715372740436e-68,1.70017555470363e-64
tni-3,WBGene00006585,BWM_head_row_1,0.479551058656887,1.02722406742059,0.661290322580645,0.725174771627488,0.487052231919497,4.44562509721617e-67,2.27171442467746e-63
lin-39,WBGene00003024,BWM_posterior,0.268134217409074,0.614121031135344,0.377083333333333,0.71107416771467,0.262505365962046,2.31236819673115e-50,1.18162014852962e-46
egl-13,WBGene00001182,BWM_head_row_1,0.300446075196907,0.442898536324714,0.435483870967742,0.689913209711416,0.33655066331869,8.771252532716071e-45,4.482110044217909e-41
pbo-5,WBGene00012857,BWM_far_posterior,0.444357873146522,0.884039821923606,0.658536585365854,0.674765659222496,0.239230903163589,1.87966114422289e-17,9.605068446978952e-14
nhr-142,WBGene00018430,BWM_far_posterior,0.0631285387277669,0.0849540332917659,0.0975609756097561,0.647067521959611,0.0511346607733957,0.0001063144280318,0.543266727242671
ceh-34,WBGene00000455,BWM_head_row_2,0.583021564226729,7.26093682078369,0.921052631578947,0.632994841160449,0.638783794628774,5.5162357266533e-88,2.81879645631983e-84
egl-5,WBGene00001174,BWM_far_posterior,0.0759516224509446,0.157916456084274,0.121951219512195,0.622803304097746,0.0439446697143788,0.0003293611437966,1.0
nhr-156,WBGene00015897,BWM_head_row_1,0.324826043627469,0.762318811228112,0.532258064516129,0.610279233481911,0.335743630404951,1.1399397595607702e-44,5.82509217135552e-41
mab-5,WBGene00003102,BWM_posterior,0.0972350523838061,0.127870370332155,0.160416666666667,0.606140586288662,0.095067630029385,4.37190810011944e-18,2.23404503916103e-14
sem-4,WBGene00004773,BWM_far_posterior,0.14661678674511,0.346728103823973,0.24390243902439,0.601128825654951,0.0590825833266399,3.06685677501422e-05,0.156716381203227
lin-36,WBGene00003021,BWM_head_row_1,0.151965113680963,0.287393243346015,0.258064516129032,0.588864815513733,0.113376326791305,3.04188765863204e-15,1.5544045935609697e-11
fkh-2,WBGene00001434,BWM_head_row_2,0.326103590567839,1.09933289364463,0.56140350877193,0.580872020698964,0.257524896702099,1.26908040120997e-32,6.48500085018293e-29
csk-1,WBGene00000812,BWM_head_row_1,0.161620410649436,0.257700209803511,0.298387096774194,0.541646781635947,0.109171197557515,1.01781859713057e-14,5.2010530313372295e-11
rnt-1,WBGene00004393,BWM_far_posterior,0.207335726501362,0.380246089244237,0.390243902439024,0.53129779915974,0.0684366882349197,7.14373607611915e-06,0.0365044913489689
ceh-13,WBGene00000437,BWM_anterior,0.131449115596093,0.230513366002214,0.251937984496124,0.521751874212184,0.0637671467817293,2.03486506376727e-11,1.03981604758508e-07
pxl-1,WBGene00016197,BWM_head_row_1,0.177207088927003,0.45732102270693,0.362903225806452,0.488303978376631,0.144964149142157,3.2490347971859e-19,1.6602567813619901e-15
npr-5,WBGene00021983,BWM_head_row_1,0.188478600363436,0.451311764778425,0.395161290322581,0.476966253980939,0.120257010004974,4.19628208094984e-16,2.14430014336537e-12
arrd-15,WBGene00014033,BWM_head_row_1,0.245607093402789,0.787086033569285,0.540322580645161,0.454556411670834,0.1904270677102,4.8724403474112605e-25,2.48981701752715e-21
unc-52,WBGene00006787,BWM_head_row_2,0.218341726423946,0.898721093040241,0.482456140350877,0.452562851133269,0.0744302584717488,4.4458334607523004e-10,2.27182089844442e-06
lect-2,WBGene00019407,BWM_far_posterior,0.385614137598103,1.8164026325354,0.853658536585366,0.451719418329207,0.164907906128348,2.24104779528816e-12,1.14517542339225e-08
spon-1,WBGene00006893,BWM_far_posterior,0.373478785142595,1.68387052196903,0.829268292682927,0.450371476201364,0.115114707904388,5.1454640181829715e-09,2.6293321132915e-05
ctbp-1,WBGene00006424,BWM_head_row_1,0.140716549935145,0.27677995549569,0.314516129032258,0.447406466460461,0.143045382727409,5.68401213114082e-19,2.90453019901296e-15
unc-53,WBGene00006788,BWM_far_posterior,0.151092987597382,0.453701356020605,0.390243902439024,0.387175780718291,0.0439729133861353,0.0003278966385476,1.0
unc-105,WBGene00006832,BWM_posterior,0.13429783804847,0.3945245995113,0.347916666666667,0.386005762055483,0.0655289522594392,8.354322254518009e-13,4.2690586720587e-09
Y57G11C.3,WBGene00013301,BWM_head_row_1,0.0737772248183819,0.179400082711642,0.193548387096774,0.381182328228307,0.0284918206654376,9.23890553913292e-05,0.472108073049692
nhr-56,WBGene00003646,BWM_head_row_1,0.109794981186138,0.267506404636619,0.290322580645161,0.378182712974474,0.0590058675324587,1.60966651424037e-08,8.2253958877683e-05
plp-1,WBGene00004046,BWM_head_row_1,0.212740700956884,0.816305101989107,0.564516129032258,0.376854955980767,0.0803964165836136,3.75358960323379e-11,1.91808428725247e-07
T03G6.3,WBGene00020195,BWM_head_row_1,0.268534416678904,1.3216747744367,0.717741935483871,0.37413783896836,0.170856190901202,1.62728174767223e-22,8.315409730605122e-19
nhr-3,WBGene00003602,BWM_far_posterior,0.0882711456275199,0.213664936290538,0.24390243902439,0.361911697072832,0.0262895956371916,0.0055373457858218,1.0
tlp-1,WBGene00006580,BWM_anterior,0.0771400095069863,0.189002708213764,0.213178294573643,0.361856771869136,0.0142619452818804,0.0016713404233077,1.0
nhr-100,WBGene00003690,BWM_far_posterior,0.077432818642584,0.222674770506747,0.219512195121951,0.352749507149549,0.0127186578642877,0.0539092409599513,1.0
eva-1,WBGene00009304,BWM_far_posterior,0.0852928319360206,0.209440757915622,0.24390243902439,0.349700610937684,0.0160445471166786,0.0303502340574362,1.0
unc-62,WBGene00006796,BWM_posterior,0.203608478773708,0.859027095149455,0.5875,0.346567623444609,0.0857541274916151,2.07106443777645e-16,1.05831392770377e-12
Y45G5AM.6,WBGene00021558,BWM_posterior,0.0572928415674701,0.1352626346906,0.166666666666667,0.343757049404821,0.0238102085207774,1.88118786614805e-05,0.0961286999601655
hsf-1,WBGene00002004,BWM_far_posterior,0.249971736613591,0.989456522091235,0.731707317073171,0.341628040038574,0.0601272428467477,2.60558424430062e-05,0.133145354883762
syd-9,WBGene00044068,BWM_far_posterior,0.0665654964582663,0.172602116971063,0.195121951219512,0.341148169348615,0.012513511237789,0.0558853894308003,1.0
