gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
WBGene00003100,mab-3,BWM_far_posterior,0.297420717503642,0.497458435988506,0.333333333333333,0.892262152510926,0.254043604287529,1.95922519381395e-75,1.00116407403893e-71
WBGene00006873,vab-7,BWM_far_posterior,0.371332890839208,0.756061656098195,0.417989417989418,0.888378688210257,0.320393391585601,1.09602446686948e-95,5.60068502570302e-92
WBGene00004024,php-3,BWM_far_posterior,0.317149444051925,0.445457667504226,0.35978835978836,0.88148889596785,0.281623367302038,8.476929665709499e-84,4.3317110591775496e-80
WBGene00009560,psa-3,BWM_far_posterior,0.620044939315945,1.96869890385422,0.71957671957672,0.861680099490541,0.554253325979343,6.319052356496541e-171,3.2290357541697304e-167
WBGene00001377,eya-1,BWM_head_row_1,0.788066813653121,4.68779919415579,0.924561403508772,0.852368280421781,0.812343010103581,0.0,0.0
WBGene00003779,nob-1,BWM_far_posterior,0.244731916476574,0.39995253080245,0.296296296296296,0.825970218108437,0.207993411609176,1.23181278317263e-61,6.2945633220121206e-58
WBGene00006874,vab-8,BWM_far_posterior,0.430293064598169,1.54691042367086,0.555555555555556,0.774527516276705,0.32970088934319,1.45371948369402e-98,7.42850656167646e-95
WBGene00012832,dmd-3,BWM_far_posterior,0.282580538035646,0.789461552049119,0.37037037037037,0.762967452696245,0.208950207200751,6.39616885618571e-62,3.2684422855109e-58
WBGene00003102,mab-5,BWM_posterior,0.145494207689611,0.269682922606034,0.202205882352941,0.719534990755895,0.157101937914334,1.68018978367651e-108,8.58576979458696e-105
WBGene00000455,ceh-34,BWM_head_row_1,0.665425606673965,9.8219377321655,0.947368421052632,0.702393695933629,0.719209004486378,0.0,0.0
WBGene00001184,egl-15,BWM_head_row_1,0.0649603726348938,0.109716911820252,0.0929824561403509,0.69863042267716,0.0560830076975607,7.10435817308975e-30,3.63032702644886e-26
WBGene00001820,ham-1,BWM_head_row_1,0.201725586524015,0.767595810870372,0.321052631578947,0.628325597369883,0.161388152791697,3.47701582162543e-85,1.7767550848506e-81
WBGene00019727,zig-12,BWM_posterior,0.154737170298142,0.411075179286725,0.263235294117647,0.587828356439871,0.171310213482709,8.48104702341741e-119,4.3338150289662995e-115
WBGene00044032,ceh-99,BWM_far_posterior,0.28633202345769,1.23568580204004,0.492063492063492,0.581900563801111,0.144112011663325,8.02004109974657e-43,4.0982410019705e-39
WBGene00004773,sem-4,BWM_posterior,0.12364843629367,0.249866661497781,0.216911764705882,0.5700402486759,0.0839074029582036,3.1510978239435696e-57,1.61021098803516e-53
WBGene00001434,fkh-2,BWM_head_row_1,0.523138343265107,5.52449449208172,0.921052631578947,0.56797877268783,0.558385930244223,0.0,0.0
WBGene00003024,lin-39,BWM_posterior,0.305951019087964,2.11070222803982,0.549264705882353,0.557019258312759,0.208130624872241,4.80910709116801e-146,2.45745372358685e-142
WBGene00006580,tlp-1,BWM_far_posterior,0.329995730962839,1.84078644526813,0.634920634920635,0.519743276266472,0.142684185426808,2.0920132651428197e-42,1.06901877848798e-38
WBGene00001981,hnd-1,BWM_head_row_1,0.0754311769025572,0.309879781213395,0.147368421052632,0.511854414695924,0.0408527680864446,4.0703535392401497e-22,2.07995065855172e-18
WBGene00004393,rnt-1,BWM_head_row_1,0.132004956284658,0.41187722838623,0.263157894736842,0.501618833881699,0.110631900302558,3.98154284990631e-58,2.0345683963021202e-54
WBGene00009304,eva-1,BWM_far_posterior,0.13151438954464,0.373102257572604,0.264550264550265,0.49712439247874,0.0574191758176007,8.08470899583605e-18,4.13128629687222e-14
WBGene00016539,madd-2,BWM_far_posterior,0.222097630404495,0.628996508868349,0.44973544973545,0.493840613487643,0.120818515429747,4.7421368278567896e-36,2.42323191903482e-32
WBGene00000437,ceh-13,BWM_head_row_2,0.0972323737556419,0.489164124465999,0.241176470588235,0.403158622889247,0.0174491372150991,7.08896788319917e-11,3.62246258831477e-07
WBGene00004257,pxn-2,BWM_head_row_1,0.298533361973447,1.77854167117165,0.742105263157895,0.402278998403936,0.181645767348367,3.2728021552333198e-96,1.6724019013242298e-92
WBGene00000437,ceh-13,BWM_anterior,0.134663111609189,0.478503510267847,0.33984375,0.396250075539682,0.0956323542910619,1.67549298551486e-64,8.56176915598093e-61
WBGene00006893,spon-1,BWM_posterior,0.361443473379218,3.69636432132274,0.927941176470588,0.389511191597256,0.426130160331285,0.0,0.0
WBGene00006588,tnt-3,BWM_posterior,0.346877484256281,7.0158561954381,0.905147058823529,0.383227764897272,0.16270711531861,1.50402743783308e-112,7.68558020732703e-109
WBGene00021558,Y45G5AM.6,BWM_far_posterior,0.184569254769514,0.713963194850512,0.492063492063492,0.375092356467078,0.0485672042774506,2.73744076089571e-15,1.3988322288177099e-11
WBGene00006796,unc-62,BWM_posterior,0.335600692510671,4.30234262961414,0.907352941176471,0.369867862086315,0.139220062075671,1.04691195226542e-95,5.3497200760762794e-92
WBGene00006760,unc-23,BWM_far_posterior,0.112474541373878,0.592163450911138,0.306878306878307,0.366511867580397,0.0150490725568668,1.14803519079318e-05,0.0586645982495313
WBGene00018704,ztf-13,BWM_head_row_1,0.0652015019297325,0.207707461932294,0.180701754385965,0.360823845630558,0.0208847053854413,5.4193481584846194e-12,2.76928690898564e-08
WBGene00006318,sup-9,BWM_head_row_2,0.0956336698129058,0.456496229039431,0.267647058823529,0.35731261248778,0.0297523875444477,1.4903367627864702e-17,7.61562085783886e-14
WBGene00002978,lev-11,BWM_far_posterior,0.345460399089229,12.5252546643008,0.968253968253968,0.356786969551171,0.114751432463391,2.70763735441995e-34,1.3836026881086e-30
WBGene00006543,tbx-2,BWM_head_row_2,0.160221010711918,1.87256816254409,0.452941176470588,0.353734698974365,0.0512173170475997,3.05988006133057e-29,1.5635987113399202e-25
WBGene00006853,unc-130,BWM_anterior,0.0588739739562432,0.207536637106285,0.16796875,0.350505519367401,0.0172463404770547,1.262989132192e-12,6.453874465501111e-09
WBGene00010593,gsnl-1,BWM_far_posterior,0.252799112538583,3.67138587840244,0.73015873015873,0.346224871520233,0.0375370397041717,3.88782504874056e-12,1.98667859990643e-08
WBGene00015477,attf-4,BWM_far_posterior,0.119868282751541,0.517706937817264,0.349206349206349,0.343259173333957,0.0183321819519678,1.27605559038072e-06,0.0065206440668454
WBGene00004786,sex-1,BWM_head_row_1,0.0994202432480352,0.400024603343035,0.292982456140351,0.339338554798683,0.0230586151251822,4.28406635895851e-13,2.1891579094278e-09
WBGene00000063,act-1,BWM_far_posterior,0.225692724520636,1.39773092561424,0.677248677248677,0.333249413550002,0.0417681348534845,2.39962191753726e-13,1.2262067998615402e-09
WBGene00003495,mup-2,BWM_head_row_1,0.191931189085251,1.30523496171542,0.580701754385965,0.330515944950432,0.0565242131007005,4.22730706682699e-30,2.1601539111485898e-26
WBGene00000383,cdc-14,BWM_far_posterior,0.120626728470036,0.53633032114989,0.37037037037037,0.325692166869097,0.0160369267857683,5.91832748437426e-06,0.0302426534451525
