gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
WBGene00004024,php-3,BWM_far_posterior,0.470125475197173,0.644934494418217,0.497737556561086,0.944524818350684,0.443054188337922,3.8867818777799497e-122,1.98614553954556e-118
WBGene00003779,nob-1,BWM_far_posterior,0.461550423008922,0.614112545138551,0.538461538461538,0.857165071302284,0.431273730014244,1.44180494194526e-118,7.36762325334028e-115
WBGene00006873,vab-7,BWM_far_posterior,0.662571600154147,2.34096406930492,0.81447963800905,0.813490686855925,0.614973572465973,4.17063523580709e-177,2.1311946054974204e-173
WBGene00009560,psa-3,BWM_far_posterior,0.389962305412856,1.03421317423706,0.484162895927602,0.805436163516274,0.365255643510038,5.46228887350899e-99,2.7912296143630902e-95
WBGene00006874,vab-8,BWM_far_posterior,0.503382808094737,1.63383880894396,0.665158371040724,0.756786398564196,0.468991743161431,4.43383723992443e-130,2.26569082960139e-126
WBGene00012832,dmd-3,BWM_far_posterior,0.304185566565798,0.76758188121146,0.429864253393665,0.707631686432015,0.239263381759757,1.79445497198842e-63,9.169664906860821e-60
WBGene00003102,mab-5,BWM_posterior,0.271360270136614,0.576641294839743,0.394520547945205,0.687822906943502,0.307257818194898,1.53591096577047e-132,7.8485050350871e-129
WBGene00003024,lin-39,BWM_posterior,0.286049541700103,1.06877467478199,0.426027397260274,0.671434615566157,0.231610216760025,2.5381177513517e-97,1.2969781709407201e-93
WBGene00001820,ham-1,BWM_head_row_1,0.161546591439756,0.848988551750874,0.24390243902439,0.662341024903001,0.0817930317426805,2.8761423769906e-16,1.46970875464219e-12
WBGene00000455,ceh-34,BWM_head_row_1,0.634186547120827,13.9962507332028,0.975609756097561,0.650041210798848,0.748806588315353,9.974056179197669e-153,5.09674270757001e-149
WBGene00000437,ceh-13,BWM_anterior,0.323639014630456,0.751281467982844,0.5,0.647278029260911,0.339543894245883,4.20889414637007e-155,2.1507449087951103e-151
WBGene00001377,eya-1,BWM_head_row_1,0.577048472286017,4.04980906389122,0.902439024390244,0.639432090911533,0.606125965994997,1.50316830435824e-120,7.68119003527059e-117
WBGene00001434,fkh-2,BWM_head_row_1,0.564598497157625,11.6912411739067,0.975609756097561,0.578713459586565,0.600613545805787,2.41287970101613e-119,1.23298152721924e-115
WBGene00019727,zig-12,BWM_posterior,0.101620014022547,0.233243368451424,0.178082191780822,0.570635463357378,0.0875630508243355,6.00028764323617e-36,3.06614698569368e-32
WBGene00001981,hnd-1,BWM_head_row_1,0.304090750038336,2.94701978633998,0.536585365853659,0.566714579616899,0.165901696072167,8.85551179302108e-32,4.52516652623377e-28
WBGene00006580,tlp-1,BWM_far_posterior,0.454246043464758,2.11458593283697,0.823529411764706,0.551584481350063,0.29738752402931,1.42873137513818e-79,7.30081732695612e-76
WBGene00004773,sem-4,BWM_posterior,0.10118348611483,0.178754524204866,0.193150684931507,0.523857764991673,0.0512437475448207,1.8667426850294802e-21,9.539055120500669e-18
WBGene00006588,tnt-3,BWM_posterior,0.24433039357244,1.03474752605523,0.473972602739726,0.515494761005436,0.151873372756338,1.63033822481889e-62,8.33102832882452e-59
WBGene00002990,lin-1,BWM_anterior,0.0689377396597747,0.132476592324196,0.136865342163355,0.503690259127063,0.0403551433475824,8.33478293053781e-18,4.25907407750482e-14
WBGene00006789,unc-54,BWM_far_posterior,0.0751689795977949,0.167158094246749,0.149321266968326,0.503404378518566,0.0356125511509051,2.41383468259344e-10,1.23346952280525e-06
WBGene00007984,irx-1,BWM_anterior,0.0932648673017739,0.258413236911609,0.188741721854305,0.494140174125188,0.0058751654055326,0.0011198854052781,1.0
WBGene00003656,nhr-66,BWM_head_row_1,0.0434764309614549,0.160724144950641,0.0894308943089431,0.48614554620536,0.0198086679647247,6.22544850262642e-05,0.31812041848421
WBGene00005009,spr-4,BWM_head_row_1,0.100190234215958,0.344679709388849,0.219512195121951,0.456422178094921,0.0349515063013684,1.00731459372455e-07,0.0005147377573932
WBGene00018704,ztf-13,BWM_head_row_1,0.110376054456353,0.339689271634752,0.24390243902439,0.452541823271049,0.0407634859797412,8.71990957826023e-09,4.45587379449098e-05
WBGene00011956,T23F11.4,BWM_head_row_1,0.0498906827087666,0.137557099915255,0.113821138211382,0.438325283798449,0.0180968148164573,0.0001299070267099,0.663824906488074
